ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2023-10,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-03,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-06,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-07,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-10,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-02,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-05,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-04,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2024-01,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-09,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-12,118789,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2024-10,118786,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-05,118786,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-09,118786,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-06,118786,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-08,118786,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-07,118786,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-08,118789,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-09,118789,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-07,118789,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-11,118789,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-06,118789,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-10,118789,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-05,118789,BATOM ULTRA CARE 24H UNA 8 ML,UNA
2024-11,138464,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-10,138464,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-09,138464,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-10,138466,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-09,138466,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-11,138466,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-10,138467,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-11,138467,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-09,138467,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-11,146475,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-09,146475,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-10,146475,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-09,146476,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-11,146476,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-10,146476,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-09,146478,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
